name,scholar_id
Dr.S.Malliga,NSRyKhIAAAAJ
Dr.C.S.Kanimozhi Selvi,V2ZozSoAAAAJ
Dr.R.Thamilselvan,pz-C9fkAAAAJ
Dr.N.Shanthi,rbCpLuwAAAAJ
Dr.E.Gothai,aT5IYYYAAAAJ
Dr.K.Sangeetha,Mz3GppgAAAAJ
Dr.S.Shanthi,EidDiWMAAAAJ
Dr.PCD.Kalaivani,gY6q1zcAAAAJ
Dr.M.Geetha,IKqaT38AAAAJ
Dr.N.Sasipriyaa,DfAhC-IAAAAJ
Dr.K.Dinesh,wTaXtzcAAAAJ
Dr.P.S.Nandhini,xSgiExMAAAAJ
Mr.N.P.Saravanan,a_DxWC0AAAAJ
Mr.K.Devendran,fXnNXqUAAAAJ
Mr.B.Bizu,c0dWiXkAAAAJ
Ms.S.Mohana Saranya,ZhStAqYAAAAJ
Ms.S.Ramya,qZ7SL9AAAAAJ
Ms.S.C.Sagana,Cpl8RqQAAAAJ
Ms.K.Venu,RSugAAAAJ
Ms.J.Gowthami,7A0QoVkAAAAJ
Ms.S.Kavitha,fmTqGE0AAAAJ
Ms.P.Santhiya,WXrSKA0AAAAJ
Mr.N.Aravindhraj,FSn3mJUAAAAJ
Ms.T.E.Ramya,gaKYmVYAAAAJ
Ms.R.S.Shudapreyaa,w0ew9lQAAAAJ
Mr.M.Muthuraja,PVJraYEAAAAJ
Mr.V.Manimaran,dyN_lioAAAAJ
Ms.P.Kalaivani,lJNT6DUAAAAJ
Ms.C.Roopa,gV2UjLoAAAAJ
Ms.K.Suvalakshmi,ED4NDLMAAAAJ
Mr.T.ArunKumar,wslvQBXAJAMC
Ms.S.Ramana,zZQLp_MAAAAJ
Dr.P.Yuvarani,vH7wVqIAAAAJ
Ms.T.Sathya,LXMFnJYAAAAJ
Mr.K.Sudhakar,csUNQXMAAAAJ
Ms.S.Mohanapriya,
Ms.S.Gayathri,
Mr.K.Suresh Kumar,
Ms.M.Kannukkiniyal,
Ms.K.T.Mohana Priya,